iin_isam_id,logical_group,post_identifier,process_id,ticket_id,pending,naked,acked_with_failures
6335970958000C,SE - Cubic ATG - Staging - Group 1,000130000007,11922,37,21,0,0
6335970958000A,SE - Cubic ATG - Staging - Group 1,000130000007,11923,37,21,0,0
63359709580037,SE - Cubic ATG - Staging - Group 2,000130000007,11924,38,21,0,0
63359709580038,SE - Cubic ATG - Staging - Group 2,000130000007,11924,38,21,0,0
63359709580039,SE - Cubic ATG - Staging - Group 2,000130000007,11924,38,21,0,0
6335970958003A,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11925,39,21,0,0
6335970958003B,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11925,39,21,0,0
6335970958003C,SE - Cubic ATG - Staging - Group 3,000130000007,11925,39,21,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11926,40,21,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11928,42,21,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11928,42,21,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11929,42,21,0,0
63359709580035,SE - S&B TVM - Group 2 H3,000130000007,11930,43,21,0,0
63359709580036,SE - S&B TVM - Group 2 H3,000130000007,11930,43,21,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,11931,44,21,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,11931,44,21,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,11931,44,21,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,11931,44,21,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11933,46,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11935,48,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11935,48,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11936,48,4,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11938,50,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11940,52,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11940,52,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11941,52,4,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11943,54,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11945,56,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11945,56,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11946,56,4,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11948,58,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11950,60,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11950,60,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11951,60,4,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11953,62,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11955,64,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11955,64,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11956,64,4,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11958,66,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11960,68,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11960,68,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11961,68,4,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11963,70,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11965,72,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11965,72,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11966,72,4,0,0
63359709580008,SE - Cubic ATG - Staging - Group 1,000130000007,11968,74,6,0,0
63359709580009,SE - Cubic ATG - Staging - Group 1,000121-16ccae,11968,74,6,0,0
6335970958000C,SE - Cubic ATG - Staging - Group 1,000130000007,11968,74,6,0,0
6335970958000A,SE - Cubic ATG - Staging - Group 1,000130000007,11969,74,6,0,0
63359709580037,SE - Cubic ATG - Staging - Group 2,000130000007,11970,75,6,0,0
63359709580038,SE - Cubic ATG - Staging - Group 2,000130000007,11970,75,6,0,0
63359709580039,SE - Cubic ATG - Staging - Group 2,000130000007,11970,75,6,0,0
6335970958003A,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11971,76,6,0,0
6335970958003B,SE - Cubic ATG - Staging - Group 3,000121-16ccae,11971,76,6,0,0
6335970958003C,SE - Cubic ATG - Staging - Group 3,000130000007,11971,76,6,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11972,77,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11974,79,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11974,79,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11975,79,4,0,0
63359709580035,SE - S&B TVM - Group 2 H3,000130000007,11976,80,6,0,0
63359709580036,SE - S&B TVM - Group 2 H3,000130000007,11976,80,6,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,11977,81,6,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,11977,81,6,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,11977,81,6,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,11977,81,6,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11979,83,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11981,85,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11981,85,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11982,85,4,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,11984,87,4,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,11986,89,4,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,11986,89,4,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,11987,89,4,0,0
63359709580008,SE - Cubic ATG - Staging - Group 1,000130000007,14472,1,9,0,0
63359709580009,SE - Cubic ATG - Staging - Group 1,000121-16ccae,14472,1,9,0,0
6335970958000C,SE - Cubic ATG - Staging - Group 1,000130000007,14472,1,9,0,0
6335970958000A,SE - Cubic ATG - Staging - Group 1,000130000007,14473,1,9,0,0
63359709580037,SE - Cubic ATG - Staging - Group 2,000130000007,14474,2,9,0,0
63359709580038,SE - Cubic ATG - Staging - Group 2,000130000007,14474,2,9,0,0
63359709580039,SE - Cubic ATG - Staging - Group 2,000130000007,14474,2,9,0,0
6335970958003A,SE - Cubic ATG - Staging - Group 3,000121-16ccae,14475,3,9,0,0
6335970958003B,SE - Cubic ATG - Staging - Group 3,000121-16ccae,14475,3,9,0,0
6335970958003C,SE - Cubic ATG - Staging - Group 3,000130000007,14475,3,9,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,14476,4,9,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,14478,6,9,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,14478,6,9,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,14479,6,9,0,0
63359709580035,SE - S&B TVM - Group 2 H3,000130000007,14480,7,9,0,0
63359709580036,SE - S&B TVM - Group 2 H3,000130000007,14480,7,9,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,14481,8,9,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,14481,8,9,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,14481,8,9,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,14481,8,9,0,0
6335970958018D,SE - S&B TVM - Staging - Group 3,000130000007,14483,10,9,0,0
6335970958000A,SE - Cubic ATG - Staging - Group 1,000130000007,14485,11,23,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,14487,13,23,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,14487,13,23,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,14487,13,23,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,14487,13,23,0,0
633597095801A5,SE - S&B TVM - Staging - Group 5,000130000007,14846,,1,0,0
6335970958018D,SE - S&B TVM - Staging - Group 3,000130000007,14847,,1,0,0
6335970958012C,SE - S&B TVM - Staging - Group 2,000243-039999,14848,,1,0,0
63359709580126,SE - S&B ATG Group 1,000130000007,14849,,1,0,0
63359709580034,SE - S&B TVM - Group 2 H3,000243-039073,14851,,1,0,0
63359709580035,SE - S&B TVM - Group 2 H3,000130000007,14851,,1,0,0
63359709580036,SE - S&B TVM - Group 2 H3,000130000007,14851,,1,0,0
63359709580125,SE - S&B ATG Group 1,000130000007,14855,,1,0,0
63359709580127,SE - S&B ATG Group 1,000130000007,14855,,1,0,0
633597095801A6,SE - Cubic ATG - Staging - Group 5,000130000007,14856,,1,0,0
633597095801A4,SE - S&B TVM - Staging - Group 4,000130000007,14857,,1,0,0
63359709580003,SE - S&B TVM - Staging - Group 1,000130000007,14858,,1,0,0
63359709580004,SE - S&B TVM - Staging - Group 1,000130000007,14858,,1,0,0
63359709580005,SE - S&B TVM - Staging - Group 1,000130000007,14858,,1,0,0
63359709580006,SE - S&B TVM - Staging - Group 1,000130000007,14858,,1,0,0
633597095800D2,SE - Cubic ATG - Staging - Group 4,000130000007,14872,,1,0,0
63359709580037,SE - Cubic ATG - Staging - Group 2,000130000007,14874,,1,0,0
